index,symbol_rate,fec,pilot_requested,pilot_actual,rx_gain_db,wait_s,result,lock_true_samples,lock_samples,max_snr_db,last_fer,last_per,max_fecframes,max_ts_packets,ts_bytes,started_at
43,1500000,3/5,off,off,40,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:00:54
44,1500000,3/5,off,off,50,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:02:05
45,1500000,3/5,off,off,60,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:03:15
46,1500000,3/5,on,on,40,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:04:25
47,1500000,3/5,on,on,50,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:05:36
48,1500000,3/5,on,on,60,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:06:46
49,1500000,2/3,off,off,40,60,NO_LOCK,0,48,,,,0,0,0,2026-08-11T11:07:57
50,1500000,2/3,off,off,50,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:09:07
51,1500000,2/3,off,off,60,60,NO_LOCK,0,49,,,,0,0,0,2026-08-11T11:10:18
52,1500000,2/3,on,on,40,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:11:28
53,1500000,2/3,on,on,50,60,NO_LOCK,0,48,,,,0,0,0,2026-08-11T11:12:39
54,1500000,2/3,on,on,60,60,NO_LOCK,0,47,,,,0,0,0,2026-08-11T11:13:49
55,2000000,1/2,off,off,40,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:15:00
56,2000000,1/2,off,off,50,60,NO_LOCK,0,46,,,,0,0,0,2026-08-11T11:16:10
57,2000000,1/2,off,off,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:17:21
58,2000000,1/2,on,on,40,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:18:31
59,2000000,1/2,on,on,50,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:19:42
60,2000000,1/2,on,on,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:20:52
61,2000000,3/5,off,off,40,60,NO_LOCK,0,52,,,,0,0,0,2026-08-11T11:22:03
62,2000000,3/5,off,off,50,60,NO_LOCK,0,52,,,,0,0,0,2026-08-11T11:23:13
63,2000000,3/5,off,off,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:24:24
64,2000000,3/5,on,on,40,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:25:34
65,2000000,3/5,on,on,50,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:26:45
66,2000000,3/5,on,on,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:27:55
67,2000000,2/3,off,off,40,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:29:06
68,2000000,2/3,off,off,50,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:30:16
69,2000000,2/3,off,off,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:31:27
70,2000000,2/3,on,on,40,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:32:37
71,2000000,2/3,on,on,50,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:33:48
72,2000000,2/3,on,on,60,60,NO_LOCK,0,53,,,,0,0,0,2026-08-11T11:34:58
